50	225	E	-1910564.4339701552	200
transitionprobs	13	50	0.0
transitionprobs	14	1	0.025548224717415545
transitionprobs	14	2	0.1900715138279477
transitionprobs	14	3	0.047348750324812484
transitionprobs	14	4	0.015979871126944694
transitionprobs	14	5	0.011627800714496997
transitionprobs	14	6	0.0
transitionprobs	14	7	0.002672242326118121
transitionprobs	14	8	0.0
transitionprobs	14	9	0.0
transitionprobs	14	10	0.0
transitionprobs	14	11	0.0
transitionprobs	14	12	0.016910586627051923
transitionprobs	14	13	0.043389914353911506
transitionprobs	14	14	0.25562109982977577
transitionprobs	14	15	0.14904697933081973
transitionprobs	14	16	0.03242413886689941
transitionprobs	14	17	0.04887637645099352
transitionprobs	14	18	0.010024173909832332
transitionprobs	14	19	0.0
transitionprobs	14	20	0.0363140710879768
transitionprobs	14	21	0.015350476669839436
transitionprobs	14	22	0.04574985431644893
transitionprobs	14	23	0.016161463422256748
transitionprobs	14	24	0.0
transitionprobs	14	25	0.0
transitionprobs	14	26	0.0
transitionprobs	14	27	0.001140369011463384
transitionprobs	14	28	0.0
transitionprobs	14	29	0.0
transitionprobs	14	30	0.008008273956292515
transitionprobs	14	31	0.0036645696186480567
transitionprobs	14	32	0.0
transitionprobs	14	33	0.0
transitionprobs	14	34	0.0
transitionprobs	14	35	0.0
transitionprobs	14	36	0.0
transitionprobs	14	37	0.002387230548203674
transitionprobs	14	38	0.002709516127764024
transitionprobs	14	39	0.0016637073646305687
transitionprobs	14	40	0.0022755929990346028
transitionprobs	14	41	0.004584703764383003
transitionprobs	14	42	0.0
transitionprobs	14	43	0.0
transitionprobs	14	44	0.004654694632489463
transitionprobs	14	45	0.0
transitionprobs	14	46	0.001130892909018293
transitionprobs	14	47	0.0
transitionprobs	14	48	0.00466291116453096
transitionprobs	14	49	0.0
transitionprobs	14	50	0.0
transitionprobs	15	1	0.011530274182774719
transitionprobs	15	2	0.044026438662031424
transitionprobs	15	3	0.008180569141614866
transitionprobs	15	4	0.0057992844597214875
transitionprobs	15	5	0.002296085587452331
transitionprobs	15	6	0.0
transitionprobs	15	7	0.0
transitionprobs	15	8	0.0
transitionprobs	15	9	0.0
transitionprobs	15	10	0.0
transitionprobs	15	11	0.0
transitionprobs	15	12	0.0
transitionprobs	15	13	0.026960694214046874
transitionprobs	15	14	0.18640851437158767
transitionprobs	15	15	0.34085342754728826
transitionprobs	15	16	0.06481500072033182
transitionprobs	15	17	0.1433201171692518
transitionprobs	15	18	0.04319968508277384
transitionprobs	15	19	0.01297809303844126
transitionprobs	15	20	0.043066381418347024
transitionprobs	15	21	0.011599052862888447
transitionprobs	15	22	0.01781664757838749
transitionprobs	15	23	0.0
transitionprobs	15	24	0.0
transitionprobs	15	25	0.0
transitionprobs	15	26	0.0
transitionprobs	15	27	0.0
transitionprobs	15	28	0.0
transitionprobs	15	29	0.0
transitionprobs	15	30	0.00435871226560644
transitionprobs	15	31	0.001370406539412312
transitionprobs	15	32	0.0
transitionprobs	15	33	0.0
transitionprobs	15	34	0.0
transitionprobs	15	35	0.0
transitionprobs	15	36	0.0
transitionprobs	15	37	0.004397638911146872
